event_name,start_date,crisis_type,region,market_avg_close_at_start,market_avg_close_at_6m,market_avg_close_at_12m,market_avg_close_change_6m,market_avg_close_change_12m,wb_inflation_annual%_at_start,wb_inflation_annual%_at_6m,wb_inflation_annual%_at_12m,wb_inflation_annual%_change_6m,wb_inflation_annual%_change_12m,african_crises_exch_usd_at_start,african_crises_exch_usd_at_6m,african_crises_exch_usd_at_12m,african_crises_exch_usd_change_6m,african_crises_exch_usd_change_12m,brent_oil_price_at_start,brent_oil_price_at_6m,brent_oil_price_at_12m,brent_oil_price_change_6m,brent_oil_price_change_12m
1973 Oil Shock,1973-10-16,Commodity/Energy Crisis,Global / Middle East,,,,,,,,,,,,,,,,,,,,
1979 Energy Crisis,1979-01-01,Commodity/Energy Crisis,Global / Middle East,,,,,,,,,,,,,,,,,,,,
Latin American Debt Crisis,1982-08-01,Sovereign Debt Crisis,Latin America,,,,,,,,,,,,,,,,,,,,
Black Monday (1987),1987-10-19,Stock Market Crash,Global,,,,,,12.96675657228544,21.360491043726064,21.360491043726064,8.39,8.39,49.41523257633333,55.805273352166665,55.805273352166665,12.93,12.93,19.1,17.05,13.35,-10.73,-30.1
Japanese Asset Bubble Burst,1991-01-01,Banking Crisis,Japan / East Asia,,,,,,81.99051948786968,36.135656402678926,36.135656402678926,-45.85,-45.85,49.711307859583336,50.28639080641667,50.28639080641667,1.16,1.16,28.35,18.53,17.75,-34.64,-37.39
1992 Black Wednesday,1992-09-16,Currency Crisis,United Kingdom / Europe,,,,,,64.55048411844733,103.78904620758097,103.78904620758097,39.24,39.24,51.20559932076923,57.125125851538456,57.125125851538456,11.56,11.56,20.43,18.55,15.43,-9.2,-24.47
Mexican Peso Crisis (Tequila),1994-12-20,Currency Crisis,Mexico / Latin America,,,,,,214.2564057478599,43.75908419530233,43.75908419530233,-170.5,-170.5,93.82890702938462,88.46962866692307,88.46962866692307,-5.71,-5.71,15.73,16.98,18.05,7.95,14.75
1997 Asian Financial Crisis,1997-07-02,Currency & Banking Crisis,East Asia,,,,,,16.149023183019654,8.896339189593688,8.896339189593688,-7.25,-7.25,107.75936556923078,102.2971847923077,102.2971847923077,-5.07,-5.07,18.83,15.77,11.95,-16.25,-36.54
Russian Financial Crisis,1998-08-17,Sovereign Debt Crisis,Russia / Global,,,,,,8.896339189593688,10.869584748219255,10.869584748219255,1.97,1.97,102.2971847923077,72.9119411,72.9119411,-28.73,-28.73,11.93,10.09,20.61,-15.42,72.76
Dot-com Bubble Burst,2000-03-10,Stock Market Crash,Global,,,,,,11.074291541364662,11.074291541364662,8.510264105780632,0.0,-2.56,80.02248781538462,80.02248781538462,85.33839220769231,0.0,6.64,28.97,36.87,25.78,27.27,-11.01
Argentine Economic Crisis,2001-12-01,Sovereign Debt Crisis,Argentina / Latin America,,,,,,8.510264105780632,5.631759307262998,5.631759307262998,-2.88,-2.88,85.33839220769231,78.89963424615385,78.89963424615385,-7.54,-7.54,18.92,23.87,25.73,26.16,35.99
2008 Great Financial Crisis,2007-08-09,Systemic Financial Crisis,Global,,,,,,5.643516698096502,10.168686795983648,10.168686795983648,4.53,4.53,63.18326851538461,68.36670991615384,68.36670991615384,8.2,8.2,70.08,91.45,113.03,30.49,61.29
Eurozone Debt Crisis,2009-12-08,Sovereign Debt Crisis,Europe / Eurozone,,,,,,3.893451046634064,4.146401470336586,4.146401470336586,0.25,0.25,96.50924393076922,101.96242561846154,101.96242561846154,5.65,5.65,74.93,71.43,89.74,-4.67,19.77
2014-16 Oil Price Collapse,2014-06-20,Commodity/Energy Crisis,Global,78.35775493827161,82.70949221311476,86.02203435582823,5.55,9.78,3.6412272868173177,3.6412272868173177,3.5807889707558167,0.0,-0.06,93.66351657254545,93.66351657254545,,0.0,,114.55,58.87,59.41,-48.61,-48.14
Chinese Stock Market Crash,2015-06-12,Stock Market Crash,China / Global,85.17012781186094,81.96762343434342,84.89212374245473,-3.76,-0.33,3.5807889707558167,3.5807889707558167,6.037177782526692,0.0,2.46,,,,,,63.19,36.99,49.36,-41.46,-21.89
Brexit Referendum Shock,2016-06-23,Political/Geopolitical Crisis,United Kingdom / Europe,86.44706579476862,90.8099971943888,99.4867984031936,5.05,15.08,6.037177782526692,6.037177782526692,4.745088255563461,0.0,-1.29,,,,,,48.63,53.93,44.14,10.9,-9.23
2018 Crypto Crash,2018-01-06,Asset Bubble Crash,Global,109.72382178217822,,,,,4.073728317352911,4.073728317352911,4.625074195884506,0.0,0.55,,,,,,68.01,74.98,57.1,10.25,-16.04
US-China Trade War Escalation,2018-03-22,Political/Geopolitical Crisis,Global,,,,,,4.073728317352911,4.073728317352911,4.625074195884506,0.0,0.55,,,,,,68.98,78.9,66.29,14.38,-3.9
2020 COVID-19 Crash,2020-02-20,Pandemic / Economic Shock,Global,,,,,,6.807404422728451,6.807404422728451,7.53648634731738,0.0,0.73,,,,,,59.72,44.56,62.84,-25.39,5.22
Great Depression (1929),1929-10-24,Economic Depression,Global,,,,,,,,,,,,,,,,,,,,
